time,temperature_2m_mean (°C),rain_sum (mm)
2014-12-01,18.0,0.00
2014-12-02,16.4,0.00
2014-12-03,17.1,0.00
2014-12-04,17.3,0.00
2014-12-05,18.3,0.00
2014-12-06,18.3,0.00
2014-12-07,16.8,0.00
2014-12-08,16.5,0.00
2014-12-09,15.9,0.00
2014-12-10,15.7,0.00
2014-12-11,15.8,0.40
2014-12-12,16.7,0.00
2014-12-13,16.5,1.30
2014-12-14,16.0,0.00
2014-12-15,17.4,0.00
2014-12-16,18.1,0.00
2014-12-17,17.7,0.00
2014-12-18,18.1,0.00
2014-12-19,18.3,0.00
2014-12-20,18.4,0.00
2014-12-21,17.9,0.00
2014-12-22,17.0,0.00
2014-12-23,16.1,0.00
2014-12-24,15.3,0.00
2014-12-25,13.9,0.00
2014-12-26,15.6,0.00
2014-12-27,16.6,0.90
2014-12-28,17.6,0.50
2014-12-29,18.7,0.00
2014-12-30,19.1,0.00
2014-12-31,18.7,0.00
2015-01-01,17.9,0.20
2015-01-02,17.1,0.00
2015-01-03,16.4,0.20
2015-01-04,17.0,0.00
2015-01-05,15.5,0.00
2015-01-06,16.5,0.80
2015-01-07,17.0,0.20
2015-01-08,16.6,0.60
2015-01-09,15.7,2.50
2015-01-10,15.6,0.30
2015-01-11,16.8,0.00
2015-01-12,17.3,0.00
2015-01-13,17.3,0.00
2015-01-14,17.2,0.00
2015-01-15,18.1,0.00
2015-01-16,18.1,0.00
2015-01-17,18.0,0.00
2015-01-18,18.8,0.00
2015-01-19,18.7,0.00
2015-01-20,18.5,0.00
2015-01-21,18.6,0.00
2015-01-22,17.7,0.00
2015-01-23,17.5,0.00
2015-01-24,17.3,0.50
2015-01-25,16.4,1.30
2015-01-26,17.5,0.20
2015-01-27,19.2,0.00
2015-01-28,19.8,0.00
2015-01-29,20.1,0.00
2015-01-30,17.6,0.00
2015-01-31,17.1,0.00
2015-02-01,15.0,1.80
2015-02-02,14.7,2.60
2015-02-03,14.2,9.30
2015-02-04,15.1,0.00
2015-02-05,16.1,0.00
2015-02-06,16.2,0.00
2015-02-07,16.8,0.00
2015-02-08,18.4,0.00
2015-02-09,18.5,0.00
2015-02-10,17.4,0.00
2015-02-11,17.3,1.10
2015-02-12,16.8,1.60
2015-02-13,15.0,2.20
2015-02-14,14.9,0.70
2015-02-15,16.0,0.10
2015-02-16,17.3,0.00
2015-02-17,17.7,0.00
2015-02-18,19.5,0.00
2015-02-19,19.8,0.00
2015-02-20,19.4,0.00
2015-02-21,19.9,0.00
2015-02-22,20.4,0.00
2015-02-23,22.9,0.00
2015-02-24,21.1,0.00
2015-02-25,19.5,0.00
2015-02-26,19.4,0.00
2015-02-27,19.1,0.00
2015-02-28,19.7,0.00
2015-03-01,20.4,0.00
2015-03-02,20.6,0.00
2015-03-03,20.5,0.00
2015-03-04,19.2,0.00
2015-03-05,20.9,0.00
2015-03-06,20.9,0.00
2015-03-07,21.3,0.20
2015-03-08,20.8,0.00
2015-03-09,16.6,2.20
2015-03-10,14.5,6.90
2015-03-11,13.5,3.10
2015-03-12,15.2,0.60
2015-03-13,16.3,0.50
2015-03-14,13.9,18.00
2015-03-15,12.8,9.80
2015-03-16,13.4,34.80
2015-03-17,16.2,9.00
2015-03-18,16.3,0.00
2015-03-19,16.7,1.10
2015-03-20,16.9,0.70
2015-03-21,17.6,0.80
2015-03-22,18.4,0.00
2015-03-23,19.3,0.00
2015-03-24,19.6,0.00
2015-03-25,19.1,2.00
2015-03-26,19.7,0.00
2015-03-27,19.9,0.00
2015-03-28,19.7,0.00
2015-03-29,20.6,0.00
2015-03-30,20.9,0.00
2015-03-31,20.7,0.00
2015-04-01,21.4,0.00
2015-04-02,21.9,0.00
2015-04-03,22.5,0.00
2015-04-04,23.5,0.00
2015-04-05,22.7,0.00
2015-04-06,23.2,0.10
2015-04-07,23.4,0.00
2015-04-08,23.4,0.30
2015-04-09,23.3,0.00
2015-04-10,22.8,2.50
2015-04-11,21.8,2.20
2015-04-12,21.6,0.00
2015-04-13,21.3,0.00
2015-04-14,20.9,1.20
2015-04-15,21.5,0.00
2015-04-16,21.9,0.00
2015-04-17,22.1,0.30
2015-04-18,21.9,0.00
2015-04-19,21.9,0.00
2015-04-20,22.9,0.00
2015-04-21,23.7,0.00
2015-04-22,24.1,0.00
2015-04-23,22.8,1.60
2015-04-24,22.9,0.00
2015-04-25,22.8,0.00
2015-04-26,22.9,0.30
2015-04-27,22.6,0.00
2015-04-28,22.9,0.00
2015-04-29,19.8,2.90
2015-04-30,20.7,0.00
2015-05-01,21.5,0.00
2015-05-02,22.0,0.00
2015-05-03,22.0,0.00
2015-05-04,22.3,0.00
2015-05-05,23.3,0.00
2015-05-06,23.4,0.40
2015-05-07,24.6,0.00
2015-05-08,25.2,0.00
2015-05-09,25.7,0.00
2015-05-10,25.1,0.00
2015-05-11,24.2,2.20
2015-05-12,23.3,4.10
2015-05-13,21.7,5.10
2015-05-14,23.0,0.00
2015-05-15,23.1,0.00
2015-05-16,22.8,0.00
2015-05-17,23.6,0.00
2015-05-18,24.6,0.00
2015-05-19,23.8,0.70
2015-05-20,24.3,0.00
2015-05-21,24.3,0.10
2015-05-22,23.9,4.20
2015-05-23,22.8,1.70
2015-05-24,22.3,1.00
2015-05-25,23.4,0.00
2015-05-26,24.6,0.00
2015-05-27,25.2,0.00
2015-05-28,24.5,0.70
2015-05-29,23.0,5.00
2015-05-30,20.6,14.80
2015-05-31,21.3,5.10
2015-06-01,22.6,0.00
2015-06-02,22.6,2.50
2015-06-03,22.8,1.60
2015-06-04,23.4,0.10
2015-06-05,22.9,0.20
2015-06-06,23.4,0.00
2015-06-07,23.7,0.00
2015-06-08,23.9,5.40
2015-06-09,23.9,0.00
2015-06-10,23.6,1.80
2015-06-11,23.1,10.00
2015-06-12,22.8,12.00
2015-06-13,23.5,6.30
2015-06-14,23.4,2.60
2015-06-15,20.9,22.50
2015-06-16,21.2,17.10
2015-06-17,21.7,0.90
2015-06-18,22.4,4.30
2015-06-19,20.4,14.90
2015-06-20,20.1,12.00
2015-06-21,21.5,1.80
2015-06-22,22.6,2.60
2015-06-23,21.2,21.10
2015-06-24,21.1,8.50
2015-06-25,20.7,9.10
2015-06-26,21.0,6.80
2015-06-27,21.5,5.80
2015-06-28,20.3,11.60
2015-06-29,20.2,14.90
2015-06-30,21.2,2.10
2015-07-01,21.5,0.60
2015-07-02,21.3,0.00
2015-07-03,20.3,10.30
2015-07-04,19.9,5.40
2015-07-05,20.9,0.50
2015-07-06,21.6,11.90
2015-07-07,20.5,10.00
2015-07-08,19.4,14.60
2015-07-09,19.8,17.00
2015-07-10,20.0,0.30
2015-07-11,21.0,0.50
2015-07-12,21.1,0.50
2015-07-13,20.4,1.70
2015-07-14,20.6,0.00
2015-07-15,20.9,0.00
2015-07-16,21.2,4.40
2015-07-17,20.6,2.30
2015-07-18,21.0,0.40
2015-07-19,21.1,13.70
2015-07-20,20.6,9.30
2015-07-21,20.1,12.80
2015-07-22,20.5,5.50
2015-07-23,21.2,1.80
2015-07-24,21.3,6.90
2015-07-25,21.2,2.40
2015-07-26,21.4,7.20
2015-07-27,21.4,5.40
2015-07-28,21.6,2.00
2015-07-29,22.6,0.00
2015-07-30,22.7,0.00
2015-07-31,22.8,0.50
2015-08-01,22.1,1.50
2015-08-02,21.4,11.00
2015-08-03,21.1,3.50
2015-08-04,21.4,1.70
2015-08-05,22.6,1.30
2015-08-06,21.3,8.80
2015-08-07,21.6,3.80
2015-08-08,21.6,2.60
2015-08-09,21.6,0.40
2015-08-10,22.2,8.30
2015-08-11,22.2,0.00
2015-08-12,22.0,0.00
2015-08-13,21.6,0.60
2015-08-14,21.8,1.90
2015-08-15,22.6,0.00
2015-08-16,20.9,10.80
2015-08-17,20.2,7.90
2015-08-18,20.4,2.60
2015-08-19,20.7,2.70
2015-08-20,21.0,2.40
2015-08-21,21.8,1.50
2015-08-22,21.6,5.40
2015-08-23,19.8,6.60
2015-08-24,20.9,11.80
2015-08-25,21.4,1.00
2015-08-26,20.6,5.30
2015-08-27,21.6,0.00
2015-08-28,22.5,0.00
2015-08-29,22.5,0.00
2015-08-30,22.1,0.00
2015-08-31,20.9,1.60
2015-09-01,21.1,5.80
2015-09-02,21.2,8.20
2015-09-03,21.3,4.80
2015-09-04,21.3,6.80
2015-09-05,21.0,10.30
2015-09-06,21.1,2.30
2015-09-07,21.3,0.80
2015-09-08,20.9,2.10
2015-09-09,21.8,2.30
2015-09-10,20.9,17.20
2015-09-11,20.1,6.80
2015-09-12,20.7,0.00
2015-09-13,19.9,11.60
2015-09-14,20.5,8.40
2015-09-15,20.7,14.20
2015-09-16,20.9,6.50
2015-09-17,20.7,9.90
2015-09-18,20.9,6.90
2015-09-19,20.9,7.70
2015-09-20,20.5,17.60
2015-09-21,21.5,0.00
2015-09-22,22.6,0.00
2015-09-23,21.7,0.00
2015-09-24,22.2,0.10
2015-09-25,21.8,0.00
2015-09-26,20.8,0.00
2015-09-27,20.6,0.00
2015-09-28,21.4,0.00
2015-09-29,21.1,0.00
2015-09-30,21.3,0.00
2015-10-01,21.3,0.00
2015-10-02,21.4,0.00
2015-10-03,20.4,0.00
2015-10-04,18.9,3.30
2015-10-05,20.3,1.70
2015-10-06,20.9,7.10
2015-10-07,20.7,2.10
2015-10-08,20.7,0.50
2015-10-09,20.2,7.40
2015-10-10,20.0,0.60
2015-10-11,21.0,0.00
2015-10-12,21.4,0.00
2015-10-13,22.0,0.00
2015-10-14,22.0,0.10
2015-10-15,21.3,0.00
2015-10-16,20.1,0.00
2015-10-17,20.4,0.00
2015-10-18,20.1,0.00
2015-10-19,20.7,0.00
2015-10-20,21.3,0.00
2015-10-21,22.4,0.00
2015-10-22,21.1,2.60
2015-10-23,18.1,46.60
2015-10-24,18.8,11.30
2015-10-25,19.4,0.00
2015-10-26,19.4,0.00
2015-10-27,19.9,0.30
2015-10-28,20.1,1.40
2015-10-29,19.4,6.60
2015-10-30,18.0,6.40
2015-10-31,18.5,1.70
2015-11-01,18.1,0.00
2015-11-02,18.0,0.00
2015-11-03,19.1,0.00
2015-11-04,19.3,0.00
2015-11-05,20.3,0.00
2015-11-06,20.4,0.10
2015-11-07,20.7,0.00
2015-11-08,21.2,0.00
2015-11-09,20.8,0.00
2015-11-10,21.7,0.00
2015-11-11,21.3,0.00
2015-11-12,21.0,0.00
2015-11-13,19.8,0.00
2015-11-14,20.1,0.00
2015-11-15,19.9,0.00
2015-11-16,21.2,0.00
2015-11-17,19.5,0.00
2015-11-18,20.2,0.00
2015-11-19,20.5,0.00
2015-11-20,20.6,0.00
2015-11-21,21.9,0.00
2015-11-22,21.2,0.00
2015-11-23,20.1,0.00
2015-11-24,20.8,0.00
2015-11-25,20.5,0.90
2015-11-26,18.8,3.70
2015-11-27,17.9,8.70
2015-11-28,18.5,1.10
2015-11-29,20.0,0.00
2015-11-30,20.7,0.00
2015-12-01,19.5,0.00
2015-12-02,19.2,0.00
2015-12-03,17.8,1.40
2015-12-04,16.9,0.20
2015-12-05,18.4,0.00
2015-12-06,17.9,0.00
2015-12-07,17.2,0.00
2015-12-08,18.5,0.00
2015-12-09,19.5,0.00
2015-12-10,19.1,0.00
2015-12-11,17.8,1.90
2015-12-12,15.8,16.50
2015-12-13,17.0,6.30
2015-12-14,16.5,0.00
2015-12-15,16.1,0.00
2015-12-16,15.9,0.00
2015-12-17,17.0,0.00
2015-12-18,15.9,0.00
2015-12-19,16.0,0.00
2015-12-20,18.5,0.00
2015-12-21,19.5,0.00
2015-12-22,18.7,0.00
2015-12-23,18.1,0.00
2015-12-24,17.4,0.00
2015-12-25,18.4,0.00
2015-12-26,17.9,0.00
2015-12-27,16.3,0.00
2015-12-28,16.2,0.00
2015-12-29,16.5,0.30
2015-12-30,19.5,0.00
2015-12-31,19.5,0.00
2016-01-01,20.5,0.00
2016-01-02,18.7,1.70
2016-01-03,18.4,0.00
2016-01-04,17.0,0.00
2016-01-05,16.9,0.00
2016-01-06,15.7,0.00
2016-01-07,15.0,0.00
2016-01-08,14.7,0.00
2016-01-09,14.8,0.00
2016-01-10,16.1,0.00
2016-01-11,15.5,0.00
2016-01-12,16.1,0.00
2016-01-13,14.3,4.10
2016-01-14,14.9,0.00
2016-01-15,15.0,0.00
2016-01-16,15.9,0.00
2016-01-17,14.9,0.00
2016-01-18,16.0,0.00
2016-01-19,15.1,0.00
2016-01-20,16.8,0.00
2016-01-21,17.6,0.00
2016-01-22,16.1,0.00
2016-01-23,16.4,0.00
2016-01-24,17.0,0.00
2016-01-25,16.2,0.00
2016-01-26,15.5,0.00
2016-01-27,14.1,0.00
2016-01-28,12.8,0.00
2016-01-29,14.7,0.00
2016-01-30,17.0,0.00
2016-01-31,18.0,0.00
2016-02-01,18.6,0.00
2016-02-02,17.9,0.00
2016-02-03,17.7,0.00
2016-02-04,18.2,0.00
2016-02-05,16.2,0.00
2016-02-06,18.2,0.00
2016-02-07,17.6,0.00
2016-02-08,17.3,0.00
2016-02-09,17.1,0.50
2016-02-10,16.0,0.10
2016-02-11,17.3,0.00
2016-02-12,18.1,0.00
2016-02-13,17.5,0.00
2016-02-14,17.2,0.00
2016-02-15,19.7,0.00
2016-02-16,20.4,0.00
2016-02-17,21.5,0.00
2016-02-18,19.6,0.00
2016-02-19,21.3,0.00
2016-02-20,21.4,0.00
2016-02-21,21.4,0.00
2016-02-22,20.6,0.00
2016-02-23,19.6,0.00
2016-02-24,20.0,0.00
2016-02-25,20.3,0.00
2016-02-26,19.3,3.10
2016-02-27,18.0,0.50
2016-02-28,18.7,0.00
2016-02-29,19.7,0.00
2016-03-01,19.8,0.00
2016-03-02,20.2,0.00
2016-03-03,21.0,0.00
2016-03-04,20.7,0.00
2016-03-05,21.0,0.00
2016-03-06,20.8,0.00
2016-03-07,20.0,0.00
2016-03-08,17.5,0.70
2016-03-09,10.8,9.90
2016-03-10,9.8,2.60
2016-03-11,14.1,0.00
2016-03-12,17.2,0.00
2016-03-13,18.8,0.00
2016-03-14,20.6,0.00
2016-03-15,21.1,0.00
2016-03-16,21.0,0.00
2016-03-17,20.5,1.30
2016-03-18,19.8,0.00
2016-03-19,19.3,0.00
2016-03-20,18.9,0.00
2016-03-21,19.0,0.00
2016-03-22,20.4,0.10
2016-03-23,19.1,5.70
2016-03-24,21.0,0.00
2016-03-25,20.7,0.00
2016-03-26,21.0,0.00
2016-03-27,22.1,0.00
2016-03-28,23.1,0.00
2016-03-29,22.8,0.00
2016-03-30,22.5,0.00
2016-03-31,22.7,0.00
2016-04-01,21.5,0.00
2016-04-02,21.9,0.00
2016-04-03,23.0,0.00
2016-04-04,23.4,0.00
2016-04-05,23.5,0.00
2016-04-06,24.0,0.00
2016-04-07,24.5,0.00
2016-04-08,24.5,0.00
2016-04-09,24.2,0.00
2016-04-10,23.8,0.00
2016-04-11,23.9,0.00
2016-04-12,23.6,0.00
2016-04-13,24.1,0.00
2016-04-14,25.2,0.00
2016-04-15,24.1,0.00
2016-04-16,23.5,0.00
2016-04-17,23.7,0.00
2016-04-18,23.7,0.00
2016-04-19,23.2,0.60
2016-04-20,22.1,1.80
2016-04-21,22.4,0.00
2016-04-22,22.0,0.00
2016-04-23,21.9,0.00
2016-04-24,21.9,0.00
2016-04-25,21.7,0.00
2016-04-26,21.3,0.00
2016-04-27,22.7,0.00
2016-04-28,23.7,0.00
2016-04-29,22.8,0.00
2016-04-30,23.1,0.00
2016-05-01,23.5,0.00
2016-05-02,25.1,0.00
2016-05-03,25.8,0.00
2016-05-04,25.4,0.00
2016-05-05,25.1,0.00
2016-05-06,25.3,0.00
2016-05-07,25.8,0.00
2016-05-08,25.1,0.20
2016-05-09,23.8,0.20
2016-05-10,24.3,0.60
2016-05-11,24.5,1.70
2016-05-12,23.1,5.80
2016-05-13,24.2,0.30
2016-05-14,23.8,0.00
2016-05-15,23.7,0.10
2016-05-16,23.6,0.00
2016-05-17,24.2,0.00
2016-05-18,24.6,0.00
2016-05-19,24.9,0.00
2016-05-20,25.6,0.00
2016-05-21,26.1,0.00
2016-05-22,25.9,0.00
